,model,dag_id,idiomatic_airflow_score,idiomatic_airflow_reasoning,no_hallucination_score,no_hallucination_reasoning,instruction_adherence_score,instruction_adherence_reasoning,overall_score
92,Ground Truth (HuggingFace),113,1,"The code uses native Airflow operators appropriately: LocalFilesystemToS3Operator for file transfer, S3CreateBucketOperator and S3DeleteBucketOperator for S3 bucket management. It uses TaskFlow API (@task decorator) for simple Python operations and proper operators for AWS interactions, which is idiomatic Airflow practice.",0,"The code contains multiple test harness imports and boilerplate that should not be in production code: 'from system.amazon.aws.utils import SystemTestContextBuilder', 'from tests_common.test_utils.watcher import watcher', and 'from tests_common.test_utils.system_tests import get_test_run'. These are internal testing modules. Additionally, it includes test setup/teardown logic (sys_test_context_task, watcher) and the 'test_run = get_test_run(dag)' pattern which are all test infrastructure leakage.",1,"The DAG fulfills all requirements from the instruction: (1) generates a sample text file via create_temp_file(), (2) uploads it to S3 using LocalFilesystemToS3Operator, and (3) performs cleanup operations by deleting both the S3 bucket and the temporary local file. The workflow demonstrates file management and cloud storage integration as requested.",0.6666666666666666
93,Ground Truth (HuggingFace),114,1,The code uses native Airflow providers and operators appropriately. It imports and uses HttpOperator from airflow.providers.http.operators.http and HttpSensor from airflow.providers.http.sensors.http. All tasks are created using these specific operators rather than wrapping logic in PythonOperator with hooks. This is the idiomatic Airflow approach for HTTP operations.,0,"The code ends with an incomplete import statement 'from te' at the bottom, which appears to be either a truncation error or an attempt to import test utilities. This is not production-ready code. Additionally, the code includes documentation markers like [START howto_operator_http_task_post_op] and [END howto_operator_http_task_post_op] which are typically used in example/test code rather than production DAGs. The ENV_ID variable suggests this is from a system tests context.",1,"The DAG fulfills the user instruction completely. It implements: (1) Service availability checks using HttpSensor (both standard and deferrable versions), (2) Sequential HTTP request tasks with different HTTP methods (POST, GET, PUT, DELETE), and (3) Different configuration parameters including various headers, data formats (JSON, form-encoded), response checks, response filters, and pagination. The workflow structure shows sensors checking connectivity first, followed by a series of HTTP operations with varied configurations.",0.6666666666666666
94,Ground Truth (HuggingFace),115,1,"The DAG uses native Airflow providers and operators specifically designed for Google Cloud DLP tasks. It imports and uses CloudDLPCreateStoredInfoTypeOperator, CloudDLPUpdateStoredInfoTypeOperator, CloudDLPDeleteStoredInfoTypeOperator, CloudDLPListInfoTypesOperator, CloudDLPGetStoredInfoTypeOperator, and CloudDLPListStoredInfoTypesOperator from airflow.providers.google.cloud.operators.dlp. It also uses GCS operators for bucket management and file uploads. No generic PythonOperator wrappers are used where native operators are available.",0,"The code imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID' which appears to be an internal testing module. Additionally, the code uses environment variables like 'SYSTEM_TESTS_ENV_ID' and 'SYSTEM_TESTS_GCP_PROJECT' which are typical of test harness boilerplate. The DAG also references a resources file path using 'Path(__file__).parent / ""resources"" / FILE_NAME' which suggests this is part of a test system rather than production-ready code.",1,"The DAG fulfills the user instruction comprehensively. It demonstrates: (1) uploading custom dictionaries to GCS (upload_file task), (2) creating custom stored info types with dictionary-based detection rules (create_info_type), (3) listing available info types (list_possible_info_types), (4) managing stored info types through CRUD operations (create, get, list, update, delete), and (5) programmatically configuring data classification rules using StoredInfoTypeConfig with large_custom_dictionary. The workflow enables dynamic configuration of sensitive data detection rules as requested.",0.6666666666666666
95,Ground Truth (HuggingFace),116,1,"The code uses native Airflow providers and operators designed specifically for Google Cloud Dataproc tasks. It properly uses DataprocCreateClusterOperator, DataprocSubmitJobOperator, and DataprocDeleteClusterOperator from airflow.providers.google.cloud.operators.dataproc. The code does not wrap these in PythonOperators or use hooks directly, which demonstrates idiomatic Airflow patterns.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically, it imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', 'from tests_common.test_utils.watcher import watcher', and 'from tests_common.test_utils.system_tests import get_test_run'. It also includes test-specific code like 'test_run = get_test_run(dag)' and 'list(dag.tasks) >> watcher()'. These are not production-ready elements and represent test infrastructure leakage.",1,"The code fully adheres to the user instruction. It creates a cloud-based data discovery pipeline using Google Dataproc that: (1) dynamically creates a multi-node cluster with 1 master, 2 workers, and 1 preemptible secondary worker, (2) executes a simple Hive query ('SHOW DATABASES;'), and (3) tears down the cluster after execution. This demonstrates scalable, on-demand data infrastructure that can spin up and down for lightweight analytical tasks as requested.",0.6666666666666666
96,Ground Truth (HuggingFace),118,1,"The code uses native Airflow providers and operators designed for GCS operations. It imports and uses GCSObjectExistenceSensor, GCSObjectsWithPrefixExistenceSensor, GCSObjectUpdateSensor, GCSUploadSessionCompleteSensor, GCSCreateBucketOperator, GCSDeleteBucketOperator, and GCSToGCSOperator from airflow.providers.google.cloud packages. These are the appropriate, idiomatic operators for GCS operations rather than wrapping logic in PythonOperator with hooks.",0,"The code imports from 'system.google' module ('from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID'), which appears to be an internal testing module. It also uses test-related environment variables like 'SYSTEM_TESTS_ENV_ID' and 'SYSTEM_TESTS_GCP_PROJECT', and includes a 'workaround_in_debug_executor' function that is clearly test harness boilerplate. Additionally, it references 'RESOURCES_BUCKET_NAME = ""airflow-system-tests-resources""' which is test infrastructure. These are clear indicators of test/system test code rather than production-ready code.",1,"The DAG successfully demonstrates various GCS sensor techniques as requested. It showcases: (1) synchronous sensors (GCSUploadSessionCompleteSensor, GCSObjectUpdateSensor, GCSObjectExistenceSensor in poke mode), (2) asynchronous sensors (same sensors with deferrable=True), (3) different monitoring strategies including upload session completion detection, object update detection, and object existence checking. The workflow illustrates file transfer validation through the copy_file task followed by sensors. Although the code is truncated, the visible portion clearly demonstrates the requested functionality.",0.6666666666666666
97,Ground Truth (HuggingFace),120,1,"The code uses appropriate Airflow operators for the task: DockerOperator from airflow.providers.docker.operators.docker for Docker container operations, BashOperator for shell commands, and ShortCircuitOperator for conditional logic. These are the idiomatic, provider-specific operators rather than wrapping everything in PythonOperators with hooks.",0,The code contains test harness boilerplate at the end: 'from tests.system.utils import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not be present in production DAG code. This is a clear example of test infrastructure leaking into the generated code.,1,"The DAG fulfills all requirements from the instruction: (1) monitors/detects new files in a source directory using BashOperator with find command, (2) checks for file availability using ShortCircuitOperator, (3) moves the first detected file to a destination directory using DockerOperator, and (4) prints the file contents using another DockerOperator. The workflow correctly chains these operations and uses Docker containers as specified.",0.6666666666666666
98,Ground Truth (HuggingFace),121,1,"The code correctly uses the TrinoOperator from airflow.providers.trino.operators.trino, which is the idiomatic and native operator for Trino database operations. It does not wrap logic in PythonOperator with hooks, but instead uses the purpose-built operator throughout for all database operations (CREATE SCHEMA, CREATE TABLE, INSERT, SELECT queries).",0,"The code includes test harness boilerplate at the end: 'from tests.system.utils import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not be present in production DAG code. This is a clear example of test infrastructure leaking into what should be clean, production-ready code.",1,"The DAG fully satisfies the user instruction. It demonstrates: (1) sequential execution of Trino operations with clear dependency chaining using the >> operator, (2) schema creation, (3) table definition (multiple tables), (4) data insertion, (5) template-based queries using Jinja templating with params, (6) parameterized queries using the parameters argument, and (7) proper task dependencies that illustrate the workflow. The structure clearly shows how operations flow from schema creation through various query types.",0.6666666666666666
99,Ground Truth (HuggingFace),122,1,"The code uses native Airflow operators throughout: GCSCreateBucketOperator, BigQueryCreateEmptyDatasetOperator, BigQueryCreateTableOperator, BigQueryToGCSOperator, GCSDeleteBucketOperator, and BigQueryDeleteDatasetOperator. No PythonOperator wrappers around hooks are used. This is idiomatic Airflow code that leverages provider-specific operators for all operations.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically: 1) Imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', 2) Imports 'from tests_common.test_utils.watcher import watcher' and uses it in the DAG, 3) Imports 'from tests_common.test_utils.system_tests import get_test_run' and creates 'test_run = get_test_run(dag)'. The docstring also explicitly states this is an 'Airflow System Test DAG'. This is not production-ready code but rather a test fixture.",1,"The DAG fully demonstrates the requested end-to-end workflow: 1) Provisioning cloud resources (creates GCS bucket, BigQuery dataset, and table), 2) Performing data transfer (uses BigQueryToGCSOperator to move data from BigQuery to GCS), and 3) Cleaning up resources (deletes bucket and dataset with trigger_rule=ALL_DONE to ensure cleanup happens). The systematic workflow clearly shows provisioning → data movement → teardown as requested.",0.6666666666666666
100,Ground Truth (HuggingFace),123,1,"The code uses the specific CohereEmbeddingOperator from airflow.providers.cohere.operators.embedding, which is the idiomatic way to handle Cohere embeddings in Airflow. It does not wrap functionality in a PythonOperator with hooks, but instead uses the native operator designed for this task.",0,"The code includes test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.system_tests import get_test_run' and includes 'test_run = get_test_run(dag)'. These are internal testing utilities that indicate this is example/test code rather than clean production-ready code.",1,"The code fulfills the user instruction to build an Airflow DAG that transforms raw text data into dense vector representations using Cohere's embedding technology. It demonstrates the use of CohereEmbeddingOperator with text inputs, which is exactly what was requested for preparing unstructured text for NLP tasks.",0.6666666666666666
101,Ground Truth (HuggingFace),124,1,"The code uses native Airflow operators designed specifically for Oracle database operations. It uses SQLExecuteQueryOperator for SQL query execution and OracleStoredProcedureOperator for stored procedure calls, both from official Airflow providers (airflow.providers.common.sql and airflow.providers.oracle). No PythonOperator wrappers with hooks are used, which demonstrates proper idiomatic Airflow patterns.",1,"The code is clean and production-ready, using only standard Airflow libraries from official providers. There are no imports from internal testing modules like 'tests_common.test_utils.system_tests' or test harness boilerplate. The imports are from legitimate Airflow 2.9.3 provider packages (airflow.providers.common.sql and airflow.providers.oracle).",1,"The DAG fully satisfies the user instruction. It demonstrates: (1) basic SQL query execution using SQLExecuteQueryOperator with a simple SELECT statement, (2) stored procedure interactions using OracleStoredProcedureOperator with two different parameter passing methods (list-based and dict-based), and (3) uses Oracle connection parameters (oracle_conn_id/conn_id='oracle'). The workflow showcases different methods of executing database operations as requested.",1.0
102,Ground Truth (HuggingFace),125,1,"The code uses native Airflow operators appropriately: GCSCreateBucketOperator for bucket creation, MSSQLToGCSOperator (a specialized transfer operator) for data transfer, and GCSDeleteBucketOperator for cleanup. These are all provider-specific operators rather than generic PythonOperator wrappers, which is the idiomatic Airflow approach.",0,"The code contains multiple test harness imports and boilerplate that should not be in production code. Specifically: 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', 'test_run = get_test_run(dag)', 'list(dag.tasks) >> watcher()', 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', 'from system.openlineage.operator import OpenLineageTestOperator', and 'import pytest'. The OpenLineageTestOperator and check_openlineage_events task are also test-specific components. This is clearly a system test file, not production-ready code.",1,"The DAG fulfills all requirements from the instruction: (1) dynamically creates a GCS bucket using GCSCreateBucketOperator, (2) transfers data using a specialized operator (MSSQLToGCSOperator), and (3) cleans up cloud resources after transfer is complete using GCSDeleteBucketOperator with appropriate trigger rule (ALL_DONE) to ensure cleanup happens regardless of transfer success/failure. The business logic flow is correct.",0.6666666666666666
103,Ground Truth (HuggingFace),126,1,"The code uses the appropriate SQLExecuteQueryOperator from airflow.providers.common.sql.operators.sql, which is the idiomatic way to execute SQL queries in Airflow. It does not wrap SQL logic in PythonOperator with hooks, but instead uses the native SQL operator designed for this purpose. The operator is properly configured with conn_id in default_args and demonstrates proper task chaining.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.watcher import watcher' and 'from tests_common.test_utils.system_tests import get_test_run', and includes 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are internal testing modules and test execution patterns that represent hallucination/leakage from test examples into what should be production-ready code.",1,"The DAG fully adheres to the instruction. It creates a sequential workflow that executes SQL tasks (CREATE TABLE -> INSERT DATA -> SELECT DATA -> DROP TABLE) with clear dependency management using the >> operator. The DAG demonstrates task ordering and atomic database interactions as requested, showing a complete database operation lifecycle from table creation through cleanup.",0.6666666666666666
104,Ground Truth (HuggingFace),127,1,"The code uses native Airflow operators designed for the specific tasks: GCSCreateBucketOperator, GCSDeleteBucketOperator, GCSTimeSpanFileTransformOperator, and GCSToGCSOperator from the Google Cloud provider package. It does not wrap functionality in PythonOperator with hooks, but instead uses the appropriate operators for GCS operations.",0,"The code contains multiple test harness imports and boilerplate that should not be in production code. Specifically: 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', 'test_run = get_test_run(dag)', 'list(dag.tasks) >> watcher()', 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', 'from system.openlineage.operator import OpenLineageTestOperator', and the OpenLineageTestOperator task. These are internal testing modules and test infrastructure that indicate this is test code, not production-ready code.",1,"The DAG fulfills all requirements from the instruction: (1) performs time-span based file processing in GCS using GCSTimeSpanFileTransformOperator, (2) applies a custom transformation script to selected files from a source bucket, (3) transfers results to a destination bucket, (4) includes automated setup (create_bucket_src, create_bucket_dst, copy_file), (5) includes transformation (gcs_timespan_transform_files_task), and (6) includes cleanup (delete_bucket_src, delete_bucket_dst). The systematic approach with proper task chaining is implemented.",0.6666666666666666
105,Ground Truth (HuggingFace),128,1,The code uses native Airflow operators specifically designed for ADLS operations: ADLSCreateObjectOperator for file upload and ADLSDeleteOperator for file deletion. This is the idiomatic approach rather than wrapping hooks in PythonOperators.,0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests.system.utils.watcher import watcher', 'from tests.system.utils import get_test_run', and includes 'test_run = get_test_run(dag)' and 'list(dag.tasks) >> watcher()'. These are internal testing modules and patterns that represent hallucination/leakage from test examples.",1,"The DAG fulfills the user instruction completely. It demonstrates an ADLS workflow with file upload (using ADLSCreateObjectOperator) and immediate deletion (using ADLSDeleteOperator), showcasing basic file management operations in a cloud storage environment. The tasks are properly chained with upload_data >> delete_file to ensure sequential execution.",0.6666666666666666
106,Ground Truth (HuggingFace),129,1,The code uses native Airflow Redis providers and operators (RedisPublishOperator and RedisKeySensor) rather than wrapping Redis logic in PythonOperators with hooks. This is the idiomatic approach for Airflow.,0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically, it imports 'from tests_common.test_utils.watcher import watcher' and 'from tests_common.test_utils.system_tests import get_test_run', and includes 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are not production-ready elements and should not be present in a clean DAG implementation.",1,The DAG fulfills the user instruction to showcase inter-service communication using Redis as a message broker and synchronization mechanism. It publishes a start signal ('Start processing' message) using RedisPublishOperator and waits for a confirmation key using RedisKeySensor before advancing. The workflow demonstrates the requested publish-then-wait pattern for synchronization.,0.6666666666666666
107,Ground Truth (HuggingFace),130,1,"The code correctly uses the native AzureSynapseRunPipelineOperator from airflow.providers.microsoft.azure.operators.synapse, which is the idiomatic way to interact with Azure Synapse in Airflow. It does not wrap functionality in a PythonOperator with hooks, but instead uses the purpose-built operator for this task.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.watcher import watcher' and 'from tests_common.test_utils.system_tests import get_test_run', and includes test-related code like 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are internal testing modules that indicate this is example/test code rather than production-ready code.",0,"While the code does set up a daily scheduled DAG that triggers an Azure Synapse pipeline, it does not fully meet the instruction requirements. The instruction specifically asks for 'appropriate error handling and logging' and to 'reliably trigger and monitor the pipeline execution'. The code lacks explicit error handling mechanisms (no retry configuration, no on_failure_callback, no error handling tasks) and does not include any monitoring or logging configuration beyond the default operator behavior. Additionally, the presence of test boilerplate (ENV_ID, watcher, test_run) suggests this is example code rather than a production workflow automation process as requested.",0.3333333333333333
108,Ground Truth (HuggingFace),131,1,"The code correctly uses the WinRMOperator from airflow.providers.microsoft.winrm.operators.winrm, which is the idiomatic Airflow approach for executing WinRM commands. It does not wrap WinRM logic in a PythonOperator, but instead uses the native operator designed for this purpose. The WinRMHook is also properly instantiated and passed to the operators.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically, it imports 'from tests.system.utils.watcher import watcher' and 'from tests.system.utils import get_test_run', then calls 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are testing utilities that should not be present in production-ready DAG code.",0,"While the DAG does use WinRM to execute commands and has parallel task execution ([t1, t2, t3] run in parallel before run_this_last), it fails to simulate real-world remote Windows server management scenarios. The commands used are Unix/Linux commands ('ls -altr', 'sleep 60', 'echo') rather than Windows commands (e.g., 'dir', 'Get-Service', 'Get-Process', etc.). Additionally, the comment 'Caveat: This Dag will not run because of missing scripts' and the connection ID 'ssh_POC1' (SSH instead of WinRM) indicate this is not a properly configured Windows infrastructure example. The instruction requested a realistic Windows server management workflow, which this does not provide.",0.3333333333333333
109,Ground Truth (HuggingFace),132,1,"The code uses native Airflow providers and operators specifically designed for Cloud Bigtable operations. It imports from 'airflow.providers.google.cloud.operators.bigtable' and 'airflow.providers.google.cloud.sensors.bigtable', using operators like BigtableCreateInstanceOperator, BigtableCreateTableOperator, BigtableUpdateClusterOperator, BigtableDeleteTableOperator, BigtableDeleteInstanceOperator, and BigtableTableReplicationCompletedSensor. This is the idiomatic Airflow approach rather than wrapping logic in PythonOperators with hooks.",0,"The code contains clear evidence of test harness boilerplate and internal testing patterns. It uses 'SYSTEM_TESTS_ENV_ID' and 'SYSTEM_TESTS_GCP_PROJECT' environment variables, which are typical of Airflow's internal system tests. The extensive docstring mentions 'Example Airflow DAG' which is characteristic of example/test code rather than production code. The variable naming pattern with 'ENV_ID' suffixes and the overall structure strongly suggest this is from Airflow's test suite rather than clean production-ready code.",0,"The code is incomplete (truncated at 'create_i') and cannot be fully evaluated. However, from what is visible, it appears to address some requirements: instance creation (dynamic resource allocation), cluster updates, table replication monitoring (BigtableTableReplicationCompletedSensor), and likely includes teardown operations (BigtableDeleteTableOperator and BigtableDeleteInstanceOperator are imported). The code demonstrates configurable parameters through environment variables. However, the incompleteness and the fact that the full workflow cannot be verified (missing task dependencies, incomplete second create_instance_task2, no visible teardown orchestration) means it fails to fully demonstrate the requested 'data infrastructure pipeline that automates provisioning and management' with all specified operations clearly implemented and connected.",0.3333333333333333
110,Ground Truth (HuggingFace),133,1,"The code uses native Airflow operators throughout: S3CreateBucketOperator, S3CreateObjectOperator, S3DeleteBucketOperator, S3DeleteObjectsOperator, and S3ToAzureBlobStorageOperator from the appropriate provider packages. No PythonOperator wrappers around hooks are used. This is idiomatic Airflow code that leverages the operator pattern correctly.",0,"The code contains multiple test harness imports and boilerplate that should not be in production code: 'from system.amazon.aws.utils import SystemTestContextBuilder', 'from tests_common.test_utils.watcher import watcher', and 'from tests_common.test_utils.system_tests import get_test_run'. These are internal testing modules that indicate this is test/example code rather than clean production-ready code. The watcher() task and test_run variable are also test-specific artifacts.",1,"The DAG fully implements the requested functionality: (1) Creates cloud storage resources programmatically (S3 bucket and object), (2) Transfers a CSV file between cloud platforms (S3 to Azure Blob Storage using S3ToAzureBlobStorageOperator), (3) Implements robust teardown mechanisms (removes S3 objects and bucket with TriggerRule.ALL_DONE to ensure cleanup runs regardless of transfer success), and (4) Uses infrastructure-as-code principles with declarative operators. All requirements from the instruction are met.",0.6666666666666666
111,Ground Truth (HuggingFace),134,1,"The DAG uses native Google Analytics Admin Operators from airflow.providers.google.marketing_platform.operators.analytics_admin, including GoogleAnalyticsAdminCreateDataStreamOperator, GoogleAnalyticsAdminCreatePropertyOperator, GoogleAnalyticsAdminDeleteDataStreamOperator, GoogleAnalyticsAdminDeletePropertyOperator, GoogleAnalyticsAdminGetGoogleAdsLinkOperator, GoogleAnalyticsAdminListAccountsOperator, and GoogleAnalyticsAdminListGoogleAdsLinksOperator. This is idiomatic Airflow usage rather than wrapping hooks in PythonOperators.",1,"The code uses standard Airflow libraries and Google Analytics provider packages. All imports are from legitimate Airflow modules (airflow.decorators, airflow.models, airflow.providers.google, etc.) and Google Analytics SDK (google.analytics.admin_v1beta). There are no test harness imports or internal testing modules present.",0,"The code is incomplete - it cuts off mid-function at 'return get_secr'. While the DAG imports and declares the necessary operators for creating, listing, and deleting properties and data streams as requested, the actual task instantiation and orchestration logic is not visible in the provided snippet. The code shows setup (imports, connection creation, secret retrieval) but doesn't demonstrate the complete workflow with task dependencies that was requested in the instruction. Without seeing the full DAG implementation including all task definitions and their dependencies, we cannot confirm full instruction adherence.",0.6666666666666666
112,Ground Truth (HuggingFace),135,1,"The code uses the native YQExecuteQueryOperator from airflow.providers.yandex.operators.yq to execute the Yandex Cloud query, and EmptyOperator for the completion marker. This is the idiomatic approach rather than wrapping logic in a PythonOperator with hooks.",0,"The code contains multiple test harness imports and boilerplate that should not be in production code: 'from tests_common.test_utils.system_tests import get_test_env_id', 'from tests_common.test_utils.watcher import watcher', and 'from tests_common.test_utils.system_tests import get_test_run'. It also includes test-specific logic like 'test_run = get_test_run(dag)' and 'list(dag.tasks) >> watcher()'.",1,"The DAG fulfills the user instruction: it executes a trivial SQL query ('select 33 as d, 44 as t') using YQExecuteQueryOperator and marks completion with an EmptyOperator ('run_this_last'). The basic orchestration flow is correctly implemented with the query operator chained to the final empty operator.",0.6666666666666666
113,Ground Truth (HuggingFace),136,1,"The code uses idiomatic Airflow patterns throughout. It leverages TaskFlow API decorators (@task.branch(), @task.branch_external_python(), @task.branch_virtualenv(), @task.external_python(), @task.virtualenv()) which are the recommended Airflow 2.0+ approach for defining tasks. It uses EmptyOperator from the standard providers package, and properly utilizes TriggerRule for join patterns. The code does not fall back to wrapping logic in PythonOperator + Hook patterns where native operators exist.",1,"The code is clean and production-ready, using only standard Airflow libraries. All imports are from legitimate Airflow packages (airflow.providers.standard.operators.empty, airflow.sdk, airflow.utils.trigger_rule). There are no imports from internal testing modules like 'tests_common.test_utils.system_tests' or test harness boilerplate. The code includes documentation comments and example markers ([START]/[END]) which are standard practice in Airflow example DAGs, not test artifacts.",0,"The DAG is incomplete and does not properly connect the final virtualenv branch tasks to the join_venv operator. In the virtualenv section, the loop creates tasks and connects them from random_choice_venv with Labels, but never connects them to join_venv (the line 't >> join_venv' is missing). This breaks the workflow routing demonstration. While the code demonstrates advanced branching techniques, random selection, external Python execution, and virtual environment execution as requested, the incomplete task dependencies mean the DAG would not execute correctly, failing to fully demonstrate 'complex workflow routing' as instructed.",0.6666666666666666
114,Ground Truth (HuggingFace),137,1,The code uses native Airflow operators specifically designed for Google Cloud Datastore operations: CloudDatastoreBeginTransactionOperator and CloudDatastoreRollbackOperator from airflow.providers.google.cloud.operators.datastore. This is the idiomatic approach rather than wrapping logic in PythonOperator with hooks.,0,"The code contains clear test harness boilerplate and imports internal testing modules. Specifically: 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', 'list(dag.tasks) >> watcher()', and 'test_run = get_test_run(dag)'. It also imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID' which appears to be a test utility. These are not production-ready patterns and should not be in a production DAG.",1,"The DAG fulfills the user instruction to create a pipeline that simulates a controlled database transaction process with explicit start and cancellation steps in a Google Cloud environment. It demonstrates transaction management using CloudDatastoreBeginTransactionOperator to start a transaction and CloudDatastoreRollbackOperator to cancel/rollback it, ensuring no persistent changes are made. This directly addresses the requirement for 'explicit start and cancellation steps' and 'prevents unintended persistent changes'.",0.6666666666666666
115,Ground Truth (HuggingFace),139,1,"The code uses the native PineconeIngestOperator from airflow.providers.pinecone.operators.pinecone, which is the idiomatic way to interact with Pinecone in Airflow. It does not wrap functionality in a PythonOperator with hooks, but instead uses the purpose-built operator for vector ingestion.",0,The code includes test harness boilerplate at the end: 'from tests.system.utils import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not be present in production DAG code. This is a clear example of test infrastructure leaking into the generated code.,1,"The DAG successfully demonstrates automated vector data insertion with configurable parameters as requested. It shows: (1) configurable index_name from environment variable with default, (2) configurable namespace from environment variable with default, (3) configurable batch_size parameter set to 1, and (4) dynamic loading of vector embeddings from environment variables (for config) and predefined lists (input_vectors with hardcoded embeddings). All key requirements from the instruction are met.",0.6666666666666666
116,Ground Truth (HuggingFace),140,1,"The code uses native Tableau-specific operators and sensors from the official Airflow Tableau provider package. It properly uses TableauOperator for refresh operations and TableauJobStatusSensor for monitoring job status. The code demonstrates proper use of XComArgs for task dependencies, which is idiomatic Airflow 2.0+ pattern. No generic PythonOperator wrappers are used where specific operators exist.",0,"The code includes test harness boilerplate at the end: 'from tests_common.test_utils.system_tests import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not be present in production DAG code. This is a clear example of test infrastructure leaking into what should be clean, production-ready code.",1,"The DAG fully addresses the user instruction to demonstrate enterprise-level data extract refresh techniques for BI reporting systems. It shows two different execution strategies: (1) blocking refresh that waits for completion, and (2) non-blocking refresh with separate monitoring via sensor. This demonstrates both synchronous and asynchronous patterns for triggering workbook refreshes and monitoring completion status, which aligns perfectly with the requirement to show 'different execution strategies'.",0.6666666666666666
117,Ground Truth (HuggingFace),141,0,"The DAG uses PythonOperator (via @task decorator) with boto3 client calls for creating and deleting DataBrew datasets and jobs, instead of using native Airflow operators. While GlueDataBrewStartJobOperator is used correctly for starting the job, the create_dataset, create_job, delete_dataset, and delete_job tasks should use dedicated operators like GlueDataBrewCreateDatasetOperator or similar if available in the provider package. The pattern of wrapping boto3 calls in @task decorators is not idiomatic when specific operators exist or should be used.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically: (1) 'from system.amazon.aws.utils import SystemTestContextBuilder' - this is an internal testing utility, (2) 'sys_test_context_task = SystemTestContextBuilder().add_variable(ROLE_ARN_KEY).build()' - test context builder pattern, (3) 'from tests_common.test_utils.watcher import watcher' - explicit import from test utilities, and (4) the comment '# This test needs watcher in order to properly mark success/fail'. These are all indicators of test/example code that has leaked into what should be production-ready code.",1,"The DAG successfully demonstrates the requested end-to-end AWS Glue DataBrew data profiling workflow. It includes: (1) Creating resources (S3 buckets, dataset, profile job), (2) Executing the profiling job via GlueDataBrewStartJobOperator, and (3) Cleaning up all resources (deleting job, dataset, and buckets) with proper trigger rules (ALL_DONE) for automated resource management. The workflow showcases data preparation (uploading JSON data), profiling (creating and running a profile job), and cleanup, fulfilling all aspects of the user instruction.",0.3333333333333333
118,Ground Truth (HuggingFace),142,1,"The code uses the native `SupervisedFineTuningTrainOperator` from `airflow.providers.google.cloud.operators.vertex_ai.generative_model`, which is the idiomatic Airflow approach for Vertex AI generative model tuning. It does not wrap functionality in a PythonOperator with hooks, but instead uses the purpose-built operator for this task.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports `from tests_common.test_utils.watcher import watcher` and `from tests_common.test_utils.system_tests import get_test_run`, and includes `list(dag.tasks) >> watcher()` and `test_run = get_test_run(dag)`. These are internal testing modules and test execution patterns that represent hallucination/leakage from test code into what should be a clean production example.",1,The DAG fulfills the user instruction to demonstrate fine-tuning a Google Vertex AI generative model using supervised learning techniques. It correctly showcases taking a base Gemini model (gemini-1.0-pro-002) and customizing it with training data (TRAIN_DATASET) using the SupervisedFineTuningTrainOperator. The business logic requested is complete and accurate.,0.6666666666666666
